id;adresse_email;code_statut;date_statut;code_usage_email
1;mysteriously even unsung;accurate mid gosh;2025-07-22;damp sympathetically
2;quaver before;mid experienced tremendously;2025-07-22;anti lest vacation
3;hence;ah;2025-07-21;mid before
4;waterspout avaricious psst;secret;2025-07-22;squeaky department
5;stall;but;2025-07-22;rationalise
6;within successfully sorrowful;slowly microchip;2025-07-22;pfft loyally
7;unto aw putrid;marten in-joke rise;2025-07-22;but numeracy brr
8;than outlandish;playfully inside yum;2025-07-22;sophisticated neighboring triumphantly
9;now horst;below and e-mail;2025-07-22;past tedious
10;unless obnoxiously;diligently shyly;2025-07-21;honestly edge
